"species","bottle","filtered","unfiltered"
"Desmodesmus","b_15",319502.617801047,303586.387434555
"Desmodesmus","b_16",323983.957219251,309919.786096257
"Desmodesmus","b_17",402992.125984252,405039.37007874
"Desmodesmus","b_26",294097.035040431,270613.333333333
"DesmodesmusClumps","b_01",104.98687664042,130.890052356021
"DesmodesmusClumps","b_03",104.712041884817,26.1096605744125
"DesmodesmusClumps","b_04",1753.92670157068,1387.43455497382
"DesmodesmusClumps","b_06",104.712041884817,78.5340314136126
"DesmodesmusClumps","b_07",134.408602150538,187.16577540107
"DesmodesmusClumps","b_11",210.526315789474,287.206266318538
"DesmodesmusClumps","b_12",183.246073298429,157.48031496063
"DesmodesmusClumps","b_13",134.408602150538,294.906166219839
"DesmodesmusClumps","b_15",157.068062827225,366.492146596859
"DesmodesmusClumps","b_16",240.641711229947,213.903743315508
"DesmodesmusClumps","b_17",262.46719160105,183.727034120735
"DesmodesmusClumps","b_26",404.312668463612,586.666666666667
"DigestedAlgae","b_01",1417.32283464567,1125.65445026178
"DigestedAlgae","b_02",3046.875,2786.45833333333
"DigestedAlgae","b_03",3350.78534031414,3054.83028720627
"DigestedAlgae","b_04",2827.22513089005,1910.99476439791
"DigestedAlgae","b_05",2374.67018469657,2309.71128608924
"DigestedAlgae","b_06",3534.03141361257,3272.25130890052
"DigestedAlgae","b_07",4166.66666666667,2433.1550802139
"DigestedAlgae","b_08",4702.84237726098,3453.60824742268
"DigestedAlgae","b_09",4490.86161879896,4166.66666666667
"DigestedAlgae","b_10",9792.74611398964,7176.16580310881
"DigestedAlgae","b_11",2052.63157894737,1253.2637075718
"DigestedAlgae","b_12",2670.15706806283,2729.65879265092
"DigestedAlgae","b_13",3521.50537634409,2359.24932975871
"DigestedAlgae","b_14",7038.04347826087,6043.95604395604
"DigestedAlgae","b_15",3743.4554973822,3821.98952879581
"DigestedAlgae","b_16",3582.88770053476,3636.36363636364
"DigestedAlgae","b_17",1679.79002624672,1942.25721784777
"DigestedAlgae","b_18",4173.22834645669,3202.09973753281
"DigestedAlgae","b_19",2801.04712041885,2506.5274151436
"DigestedAlgae","b_20",2910.05291005291,2585.75197889182
"DigestedAlgae","b_21",9533.67875647668,9768.0412371134
"DigestedAlgae","b_22",8372.70341207349,8110.23622047244
"DigestedAlgae","b_23",4746.66666666667,3894.73684210526
"DigestedAlgae","b_24",2539.26701570681,2710.52631578947
"DigestedAlgae","b_25",8847.18498659517,8253.96825396825
"DigestedAlgae","b_26",5309.9730458221,3813.33333333333
"DigestedAlgae","b_27",6824.1469816273,6094.98680738786
"DigestedAlgae","b_28",3120,2696.33507853403
"DigestedAlgae","b_29",2532.63707571802,2500
"DigestedAlgae","b_30",5788.11369509044,4056.84754521964
"DividingChlamydomonas","b_01",11732.2834645669,8246.07329842932
"DividingChlamydomonas","b_02",115416.666666667,109635.416666667
"DividingChlamydomonas","b_03",8455.49738219895,6449.0861618799
"DividingChlamydomonas","b_04",10863.8743455497,7879.58115183246
"DividingChlamydomonas","b_05",7968.33773087071,6876.64041994751
"DividingChlamydomonas","b_06",10052.3560209424,6753.92670157068
"DividingChlamydomonas","b_07",17365.5913978495,14518.7165775401
